artist,album,score,genre,label,reviewer,year,review_date,length,url,genre_clean,genre_list,genre_cleaned,genre_len,main_genre
Cass McCombs,Interior Live Oak,8.1,Folk/Country / Rock,Domino,Brian Howe,2025.0,2025-08-16,811,https://www.pitchfork.com/reviews/albums/cass-mccombs-interior-live-oak/,Folk_Country / Rock,"['Folk_Country', 'Rock']","['Folk/Country', 'Rock']",2,Folk/Country
Radiohead,Hail to the Thief (Live Recordings 2003-2009),8.1,Rock,XL,Molly Mary O’Brien,2025.0,2025-08-15,1763,https://www.pitchfork.com/reviews/albums/radiohead-hail-to-the-thief-live-recordings-2003-2009/,Rock,['Rock'],['Rock'],1,Rock
Pile,Sunshine and Balance Beams,7.9,Rock,Sooper,Zach Schonfeld,2025.0,2025-08-15,742,https://www.pitchfork.com/reviews/albums/pile-sunshine-and-balance-beams/,Rock,['Rock'],['Rock'],1,Rock
Mondo Lava,Utero Dei,7.1,Rock,Hausu Mountain,Sam Goldner,2025.0,2025-08-15,619,https://www.pitchfork.com/reviews/albums/mondo-lava-utero-dei/,Rock,['Rock'],['Rock'],1,Rock
MGK,lost americana,5.6,Rap / Rock,Interscope,Drew Millard,2025.0,2025-08-14,1454,https://www.pitchfork.com/reviews/albums/mgk-lost-americana/,Rap / Rock,"['Rap', 'Rock']","['Rap', 'Rock']",2,Rap
Phil Elverum,GIANT OPENING MOUTH ON THE GROUND,6.6,Rock / Experimental,P.W. Elverum & Sun,Daniel Bromfield,2025.0,2025-08-14,794,https://www.pitchfork.com/reviews/albums/phil-elverum-arrington-de-dionyso-giant-opening-mouth-on-the-ground/,Rock / Experimental,"['Rock', 'Experimental']","['Rock', 'Experimental']",2,Rock
wolfacejoeyy,SUMMERSONGS,7.6,Rap,self-released,Samuel Hyland,2025.0,2025-08-14,639,https://www.pitchfork.com/reviews/albums/wolfacejoeyy-summersongs/,Rap,['Rap'],['Rap'],1,Rap
Quadeca,"Vanisher, Horizon Scraper",6.7,Rap,X8 Music,Kieran Press-Reynolds,2025.0,2025-08-13,1015,https://www.pitchfork.com/reviews/albums/quadeca-vanisher-horizon-scraper/,Rap,['Rap'],['Rap'],1,Rap
coatshek,Sound Bath,8.0,Electronic,Dark Entries,Andrew Ryce,2025.0,2025-08-13,1011,https://www.pitchfork.com/reviews/albums/coatshek-sound-bath/,Electronic,['Electronic'],['Electronic'],1,Electronic
Field Medic,Surrender Instead,6.8,Folk/Country,self-released,Grace Robins-Somerville,2025.0,2025-08-13,601,https://www.pitchfork.com/reviews/albums/field-mic-surrender-instead/,Folk_Country,['Folk_Country'],['Folk/Country'],1,Folk/Country
Osees,ABOMINATION REVEALED AT LAST,7.3,Rock,Deathgod,Nina Corcoran,2025.0,2025-08-12,633,https://www.pitchfork.com/reviews/albums/osees-abomination-revealed-at-last/,Rock,['Rock'],['Rock'],1,Rock
Anamanaguchi,Anyway,7.5,Electronic,Polyvinyl,Ian Cohen,2025.0,2025-08-12,661,https://www.pitchfork.com/reviews/albums/anamanaguchi-anyway/,Electronic,['Electronic'],['Electronic'],1,Electronic
Recoechi,FLAVAZ,7.6,Rap,Closed Sessions,Dash Lewis,2025.0,2025-08-12,855,https://www.pitchfork.com/reviews/albums/recoechi-flavaz/,Rap,['Rap'],['Rap'],1,Rap
No Joy,Bugland,8.3,Rock,Hand Drawn Dracula,Sadie Sartini Garner,2025.0,2025-08-11,908,https://www.pitchfork.com/reviews/albums/no-joy-bugland/,Rock,['Rock'],['Rock'],1,Rock
